State,Abbreviation,County,Population,Temperature,Precipitation,Elevation,Electricity-Prices,Wage,Population_Class,Temperature_Class,Precipitation_Class,Elevation_Class,Electricity-Prices_Class,Wage_Class
Alabama,AL,Autauga,59759,66.1,51.89,111.111421911,14.21,48347.0,2,1,2,6,1,5
Alabama,AL,Baldwin,246435,70.1,50.71,36.7830188679,14.21,54659.0,1,1,2,7,1,3
Alabama,AL,Barbour,24706,66.4,48.95,114.048848787,14.21,40428.0,4,1,2,6,1,7
Alabama,AL,Bibb,22005,64.4,53.22,125.742119089,14.21,36892.0,4,3,1,6,1,7
Alabama,AL,Blount,59512,62.5,60.68,240.213487795,14.21,42634.0,2,3,1,5,1,6
Alabama,AL,Bullock,10202,66.0,52.37,126.379893238,14.21,33267.0,6,3,2,6,1,7
Alabama,AL,Butler,18650,66.6,51.82,117.25207058,14.21,46050.0,5,1,2,6,1,5
Alabama,AL,Calhoun,115788,63.0,55.15,231.764679108,14.21,42621.0,2,3,1,5,1,6
Alabama,AL,Chambers,34088,63.0,60.09,228.470159453,14.21,39728.0,3,3,1,5,1,7
Alabama,AL,Cherokee,25302,61.9,58.58,230.553937187,14.21,43719.0,4,3,1,5,1,6
Alabama,AL,Chilton,45884,64.5,53.86,160.85502728,14.21,41748.0,3,3,1,6,1,7
Alabama,AL,Choctaw,12439,66.9,57.14,60.0181323663,14.21,44241.0,6,1,1,7,1,6
Alabama,AL,Clarke,22515,67.0,59.79,69.494336203,14.21,45232.0,4,1,1,7,1,6
Alabama,AL,Clay,14198,62.6,62.57,311.927040584,14.21,38705.0,5,3,1,4,1,7
Alabama,AL,Cleburne,15346,62.0,55.56,319.907881773,14.21,42836.0,5,3,1,3,1,6
Alabama,AL,Coffee,54805,67.2,49.33,99.992013451,14.21,49196.0,3,1,2,6,1,4
Alabama,AL,Colbert,58033,61.7,57.07,179.550851157,14.21,44279.0,3,3,1,5,1,6
Alabama,AL,Conecuh,11206,67.2,46.3,98.4821551132,14.21,41656.0,6,1,3,6,1,7
Alabama,AL,Coosa,10166,64.0,61.17,197.310621242,14.21,38275.0,6,3,1,5,1,7
Alabama,AL,Covington,37602,67.6,47.76,91.2368421053,14.21,41458.0,3,1,2,6,1,7
Alabama,AL,Crenshaw,13025,66.4,53.29,128.554189435,14.21,46038.0,5,1,1,6,1,5
Alabama,AL,Cullman,90665,62.0,63.31,228.562635771,14.21,46061.0,2,3,1,5,1,5
Alabama,AL,Dale,49544,67.4,47.11,95.8087790111,14.21,43916.0,3,1,3,6,1,6
Alabama,AL,Dallas,36767,66.6,51.41,59.3369815668,14.21,41850.0,3,1,2,7,1,7
Alabama,AL,DeKalb,71998,60.3,60.21,370.587217514,14.21,40026.0,2,4,1,3,1,7
Alabama,AL,Elmore,89563,65.7,57.19,116.5,14.21,47381.0,2,3,1,6,1,5
Alabama,AL,Escambia,36666,68.2,46.95,73.6234676007,14.21,39363.0,3,1,3,6,1,7
