latitude,longitude,Depth,Temperature,pH
56.509,-170.8147,122.0,2.199,7.9743
56.509,-170.8147,122.0,2.098,7.9977
56.509,-170.8147,122.0,1.637,8.0398
56.509,-170.8147,122.0,0.763,8.0659
56.509,-170.8147,122.0,-0.318,8.0661
56.509,-170.8147,122.0,-0.45,8.0779
56.509,-170.8147,122.0,-0.444,8.0813
56.509,-170.8147,122.0,-0.44,8.0821
56.7347,-170.5275,109.0,1.302,7.9929
56.7347,-170.5275,109.0,1.298,7.994
56.7347,-170.5275,109.0,0.643,8.0149
56.7347,-170.5275,109.0,-1.188,8.0611
56.7347,-170.5275,109.0,-1.179,8.0614
56.7347,-170.5275,109.0,-1.181,8.0618
56.7347,-170.5275,109.0,-1.179,8.0921
56.7347,-170.5275,109.0,-1.179,8.0944
56.9675,-170.2735,75.0,0.643,8.0429
56.9675,-170.2735,75.0,0.655,8.0438
56.9675,-170.2735,75.0,0.658,8.0535
56.9675,-170.2735,75.0,-1.626,8.1481
56.9675,-170.2735,75.0,-1.624,8.1614
56.9675,-170.2735,75.0,-1.628,8.1564
56.9675,-170.2735,75.0,-1.626,8.1646
57.31,-169.9182,58.0,-1.663,8.068
57.31,-169.9182,58.0,-1.657,8.0688
57.31,-169.9182,58.0,-1.656,8.0693
57.31,-169.9182,58.0,-1.656,8.0696
57.31,-169.9182,58.0,-1.66,8.0701
57.31,-169.9182,58.0,-1.658,8.0921
57.4455,-169.7615,63.0,-1.549,7.9767600000000005
57.4455,-169.7615,63.0,-1.554,7.9767600000000005
57.4455,-169.7615,63.0,-1.561,7.9767600000000005
57.4455,-169.7615,63.0,-1.595,7.9767600000000005
57.4455,-169.7615,63.0,-1.607,7.9767600000000005
57.4455,-169.7615,63.0,-1.612,7.9767600000000005
57.4455,-169.7615,63.0,-1.601,7.9767600000000005
57.681,-169.5242,69.0,-1.713,7.989579999999999
57.681,-169.5242,69.0,-1.716,7.989579999999999
57.681,-169.5242,69.0,-1.716,7.989579999999999
57.681,-169.5242,69.0,-1.706,7.989579999999999
57.681,-169.5242,69.0,-1.705,7.989579999999999
57.681,-169.5242,69.0,-1.694,7.989579999999999
57.681,-169.5242,69.0,-1.702,7.989579999999999
57.9195,-169.1927,66.0,-1.721,8.1755
57.9195,-169.1927,66.0,-1.722,8.1769
57.9195,-169.1927,66.0,-1.723,8.1636
57.9195,-169.1927,66.0,-1.723,8.1502
57.9195,-169.1927,66.0,-1.723,8.1574
57.9195,-169.1927,66.0,-1.723,8.1586
57.9195,-169.1927,66.0,-1.739,8.1568
57.9195,-169.1927,66.0,-1.728,8.1663
57.9007,-169.241,69.0,-1.716,8.022960000000001
57.9007,-169.241,69.0,-1.716,8.022960000000001
57.9007,-169.241,69.0,-1.718,8.022960000000001
57.9007,-169.241,69.0,-1.721,8.022960000000001
57.9007,-169.241,69.0,-1.721,8.022960000000001
57.9007,-169.241,69.0,-1.712,8.022960000000001
57.9007,-169.241,69.0,-1.711,8.022960000000001
58.1188,-168.9718,70.0,-1.722,8.00018
58.1188,-168.9718,70.0,-1.723,8.00018
58.1188,-168.9718,70.0,-1.723,8.00018
58.1188,-168.9718,70.0,-1.72,8.00018
58.1188,-168.9718,70.0,-1.721,8.00018
58.1188,-168.9718,70.0,-1.72,8.00018
58.1188,-168.9718,70.0,-1.716,8.00018
58.3578,-168.7042,66.0,-1.712,8.1734
58.3578,-168.7042,66.0,-1.713,8.1519
58.3578,-168.7042,66.0,-1.713,8.1054
58.3578,-168.7042,66.0,-1.712,8.0996
58.3578,-168.7042,66.0,-1.712,8.1166
58.3578,-168.7042,66.0,-1.711,8.0878
58.3578,-168.7042,66.0,-1.699,8.0687
58.5938,-168.4445,55.0,-1.709,8.0696
58.5938,-168.4445,55.0,-1.71,8.0701
58.5938,-168.4445,55.0,-1.71,8.0705
58.5938,-168.4445,55.0,-1.709,8.0709
58.5938,-168.4445,55.0,-1.709,8.0714
58.5938,-168.4445,55.0,-1.698,8.0966
58.8245,-168.1973,47.0,-1.71,8.0816
58.8245,-168.1973,47.0,-1.711,8.095260000000001
