latitude,longitude,Depth,Temperature,pH,Depth_Class,Temperature_Class,pH_Class
56.509,-170.8147,122.0,2.199,7.9743,5,3,3
56.509,-170.8147,122.0,2.098,7.9977,5,3,4
56.509,-170.8147,122.0,1.637,8.0398,5,3,5
56.509,-170.8147,122.0,0.763,8.0659,5,2,6
56.509,-170.8147,122.0,-0.318,8.0661,5,2,6
56.509,-170.8147,122.0,-0.45,8.0779,5,2,6
56.509,-170.8147,122.0,-0.444,8.0813,5,2,6
56.509,-170.8147,122.0,-0.44,8.0821,5,2,6
56.7347,-170.5275,109.0,1.302,7.9929,5,3,4
56.7347,-170.5275,109.0,1.298,7.994,5,3,4
56.7347,-170.5275,109.0,0.643,8.0149,5,2,4
56.7347,-170.5275,109.0,-1.188,8.0611,5,2,6
56.7347,-170.5275,109.0,-1.179,8.0614,5,2,6
56.7347,-170.5275,109.0,-1.181,8.0618,5,2,6
56.7347,-170.5275,109.0,-1.179,8.0921,5,2,7
56.7347,-170.5275,109.0,-1.179,8.0944,5,2,7
56.9675,-170.2735,75.0,0.643,8.0429,6,2,5
56.9675,-170.2735,75.0,0.655,8.0438,6,2,6
56.9675,-170.2735,75.0,0.658,8.0535,6,2,6
56.9675,-170.2735,75.0,-1.626,8.1481,6,2,7
56.9675,-170.2735,75.0,-1.624,8.1614,6,2,7
56.9675,-170.2735,75.0,-1.628,8.1564,6,2,7
56.9675,-170.2735,75.0,-1.626,8.1646,6,2,7
57.31,-169.9182,58.0,-1.663,8.068,6,2,6
57.31,-169.9182,58.0,-1.657,8.0688,6,2,6
57.31,-169.9182,58.0,-1.656,8.0693,6,2,6
57.31,-169.9182,58.0,-1.656,8.0696,6,2,6
57.31,-169.9182,58.0,-1.66,8.0701,6,2,6
57.31,-169.9182,58.0,-1.658,8.0921,6,2,7
57.4455,-169.7615,63.0,-1.549,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.554,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.561,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.595,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.607,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.612,7.97676,6,2,3
57.4455,-169.7615,63.0,-1.601,7.97676,6,2,3
57.681,-169.5242,69.0,-1.713,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.716,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.716,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.706,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.705,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.694,7.989579999999999,6,2,4
57.681,-169.5242,69.0,-1.702,7.989579999999999,6,2,4
57.9195,-169.1927,66.0,-1.721,8.1755,6,2,7
57.9195,-169.1927,66.0,-1.722,8.1769,6,2,7
57.9195,-169.1927,66.0,-1.723,8.1636,6,2,7
57.9195,-169.1927,66.0,-1.723,8.1502,6,2,7
57.9195,-169.1927,66.0,-1.723,8.1574,6,2,7
57.9195,-169.1927,66.0,-1.723,8.1586,6,2,7
57.9195,-169.1927,66.0,-1.739,8.1568,6,2,7
57.9195,-169.1927,66.0,-1.728,8.1663,6,2,7
57.9007,-169.241,69.0,-1.716,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.716,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.718,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.721,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.721,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.712,8.022960000000001,6,2,5
57.9007,-169.241,69.0,-1.711,8.022960000000001,6,2,5
58.1188,-168.9718,70.0,-1.722,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.723,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.723,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.72,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.721,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.72,8.00018,6,2,4
58.1188,-168.9718,70.0,-1.716,8.00018,6,2,4
58.3578,-168.7042,66.0,-1.712,8.1734,6,2,7
58.3578,-168.7042,66.0,-1.713,8.1519,6,2,7
58.3578,-168.7042,66.0,-1.713,8.1054,6,2,7
58.3578,-168.7042,66.0,-1.712,8.0996,6,2,7
58.3578,-168.7042,66.0,-1.712,8.1166,6,2,7
58.3578,-168.7042,66.0,-1.711,8.0878,6,2,7
58.3578,-168.7042,66.0,-1.699,8.0687,6,2,6
58.5938,-168.4445,55.0,-1.709,8.0696,7,2,6
58.5938,-168.4445,55.0,-1.71,8.0701,7,2,6
58.5938,-168.4445,55.0,-1.71,8.0705,7,2,6
58.5938,-168.4445,55.0,-1.709,8.0709,7,2,6
58.5938,-168.4445,55.0,-1.709,8.0714,7,2,6
58.5938,-168.4445,55.0,-1.698,8.0966,7,2,7
58.8245,-168.1973,47.0,-1.71,8.0816,7,2,6
58.8245,-168.1973,47.0,-1.711,8.095260000000001,7,2,7
58.8245,-168.1973,47.0,-1.711,8.0747,7,2,6
58.8245,-168.1973,47.0,-1.699,8.0803,7,2,6
58.8245,-168.1973,47.0,-1.708,8.1105,7,2,7
59.0487,-167.9052,43.0,-1.702,8.07594,7,2,6
59.0487,-167.9052,43.0,-1.702,8.07594,7,2,6
59.0487,-167.9052,43.0,-1.709,8.07594,7,2,6
59.0487,-167.9052,43.0,-1.708,8.07594,7,2,6
59.0487,-167.9052,43.0,-1.704,8.0832,7,2,6
59.4552,-167.7942,38.0,-1.734,8.0682,7,2,6
59.4552,-167.7942,38.0,-1.724,8.0929,7,2,7
59.4552,-167.7942,38.0,-1.718,8.1098,7,2,7
59.4552,-167.7942,38.0,-1.711,8.0738,7,2,6
59.508,-167.729,35.0,-1.74,8.0805,7,2,6
59.508,-167.729,35.0,-1.741,8.0737,7,2,6
59.508,-167.729,35.0,-1.742,8.0836,7,2,6
59.508,-167.729,35.0,-1.736,8.1032,7,2,7
59.8667,-167.9942,31.0,-1.719,7.8833,7,2,2
59.8667,-167.9942,31.0,-1.714,7.8763,7,2,2
59.8667,-167.9942,31.0,-1.68,7.876,7,2,2
59.8667,-167.9942,31.0,-1.678,7.9275,7,2,3
59.9038,-168.5867,40.0,-1.69,8.061499999999999,7,2,6
59.9038,-168.5867,40.0,-1.689,8.061499999999999,7,2,6
59.9038,-168.5867,40.0,-1.669,8.061499999999999,7,2,6
59.9038,-168.5867,40.0,-1.63,7.9632,7,2,3
59.9038,-168.5867,40.0,-1.635,7.9515,7,2,3
59.8953,-169.2033,45.0,-1.659,8.0647,7,2,6
59.8953,-169.2033,45.0,-1.659,8.07,7,2,6
59.8953,-169.2033,45.0,-1.653,8.0066,7,2,4
59.8953,-169.2033,45.0,-1.656,8.1526,7,2,7
59.8953,-169.2033,45.0,-1.655,8.0144,7,2,4
59.9032,-169.7947,54.0,-1.682,8.06118,7,2,6
59.9032,-169.7947,54.0,-1.683,8.06118,7,2,6
59.9032,-169.7947,54.0,-1.681,8.06118,7,2,6
59.9032,-169.7947,54.0,-1.681,8.06118,7,2,6
59.9032,-169.7947,54.0,-1.682,8.0189,7,2,5
59.9032,-169.7947,54.0,-1.673,8.0633,7,2,6
59.8923,-169.7908,53.0,-1.678,8.06662,7,2,6
59.8922,-169.7388,52.0,-1.68,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.699,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.699,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.699,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.7,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.695,8.05424,7,2,6
59.8922,-169.7388,52.0,-1.697,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.685,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.683,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.676,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.67,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.671,8.05424,7,2,6
59.8225,-169.6503,52.0,-1.666,8.05424,7,2,6
59.9037,-170.3983,60.0,-1.687,8.0114,6,2,4
59.9037,-170.3983,60.0,-1.689,8.02788,6,2,5
59.9037,-170.3983,60.0,-1.696,8.017,6,2,5
59.9037,-170.3983,60.0,-1.7,8.02788,6,2,5
59.9037,-170.3983,60.0,-1.707,8.0072,6,2,4
59.9037,-170.3983,60.0,-1.708,8.0457,6,2,6
59.9037,-170.3983,60.0,-1.707,8.0581,6,2,6
59.904,-170.9568,71.0,-1.622,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.624,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.699,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.708,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.708,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.708,7.979819999999999,6,2,4
59.904,-170.9568,71.0,-1.708,8.0218,6,2,5
59.904,-170.9568,71.0,-1.708,7.9919,6,2,4
59.909,-171.5652,70.0,-1.72,8.1036,6,2,7
59.909,-171.5652,70.0,-1.721,8.0695,6,2,6
59.909,-171.5652,70.0,-1.721,8.0583,6,2,6
59.909,-171.5652,70.0,-1.721,8.0703,6,2,6
59.909,-171.5652,70.0,-1.721,8.0563,6,2,6
59.909,-171.5652,70.0,-1.721,8.0885,6,2,7
59.909,-171.5652,70.0,-1.707,8.0644,6,2,6
59.909,-171.5652,70.0,-1.704,8.0613,6,2,6
59.8978,-172.1873,72.0,-1.729,8.0699,6,2,6
59.8978,-172.1873,72.0,-1.73,8.0707,6,2,6
59.8978,-172.1873,72.0,-1.73,8.0711,6,2,6
59.8978,-172.1873,72.0,-1.73,8.0716,6,2,6
59.8978,-172.1873,72.0,-1.729,8.0965,6,2,7
59.8978,-172.1873,72.0,-1.73,8.0724,6,2,6
59.8978,-172.1873,72.0,-1.726,8.076,6,2,6
59.8815,-172.678,75.0,-1.723,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.722,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.721,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.721,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.718,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.717,7.974500000000001,6,2,3
59.8815,-172.678,75.0,-1.695,7.974500000000001,6,2,3
59.8813,-172.7282,65.0,-1.601,7.9836,6,2,4
59.8813,-172.7282,65.0,-1.636,7.9851,6,2,4
59.8813,-172.7282,65.0,-1.711,7.9795,6,2,4
59.8813,-172.7282,65.0,-1.72,7.9844,6,2,4
59.8813,-172.7282,65.0,-1.721,7.9954,6,2,4
59.8813,-172.7282,65.0,-1.722,8.0064,6,2,4
59.8813,-172.7282,65.0,-1.715,7.9904,6,2,4
59.8813,-172.7282,65.0,-1.698,7.9857,6,2,4
59.8762,-173.3713,87.0,-0.682,8.098299999999998,5,2,7
59.8762,-173.3713,87.0,-0.685,8.098299999999998,5,2,7
59.8762,-173.3713,87.0,-1.68,8.0866,5,2,6
59.8762,-173.3713,87.0,-1.678,8.0866,5,2,6
59.8762,-173.3713,87.0,-1.677,8.0866,5,2,6
59.8762,-173.3713,87.0,-1.673,8.0092,5,2,4
59.8762,-173.3713,87.0,-1.635,7.9757,5,2,3
59.911,-174.0243,103.0,-1.172,8.1383,5,2,7
59.911,-174.0243,103.0,-1.726,8.131,5,2,7
59.911,-174.0243,103.0,-1.74,8.1005,5,2,7
59.911,-174.0243,103.0,-1.742,8.074,5,2,6
59.911,-174.0243,103.0,-1.743,8.089279999999999,5,2,7
59.911,-174.0243,103.0,-1.742,8.0635,5,2,6
59.911,-174.0243,103.0,-1.743,8.0774,5,2,6
59.911,-174.0243,103.0,-1.685,8.0956,5,2,7
59.9028,-174.6178,112.0,-0.563,8.0311,5,2,5
59.9028,-174.6178,112.0,-1.236,8.0482,5,2,6
59.9028,-174.6178,112.0,-1.717,8.0615,5,2,6
59.9028,-174.6178,112.0,-1.75,8.0638,5,2,6
59.9028,-174.6178,112.0,-1.752,8.0644,5,2,6
59.9028,-174.6178,112.0,-1.752,8.0648,5,2,6
59.9028,-174.6178,112.0,-1.752,8.0654,5,2,6
59.9028,-174.6178,112.0,-1.743,8.2515,5,2,7
59.9028,-174.6178,112.0,-1.744,8.107,5,2,7
59.9157,-175.2295,120.0,0.241,8.045,5,2,6
59.9157,-175.2295,120.0,0.23,8.0174,5,2,5
59.9157,-175.2295,120.0,-1.746,8.0895,5,2,7
59.9157,-175.2295,120.0,-1.746,8.0835,5,2,6
59.9157,-175.2295,120.0,-1.746,8.0275,5,2,5
59.9157,-175.2295,120.0,-1.745,8.0289,5,2,5
59.9157,-175.2295,120.0,-1.745,8.033,5,2,5
59.9157,-175.2295,120.0,-1.746,8.0433,5,2,5
59.9045,-175.8032,132.0,0.674,7.987,5,2,4
59.9045,-175.8032,132.0,0.673,7.9903,5,2,4
59.9045,-175.8032,132.0,0.428,8.001,5,2,4
59.9045,-175.8032,132.0,-1.746,8.0586,5,2,6
59.9045,-175.8032,132.0,-1.746,8.0595,5,2,6
59.9045,-175.8032,132.0,-1.746,8.06,5,2,6
59.9045,-175.8032,132.0,-1.745,8.1178,5,2,7
59.9045,-175.8032,132.0,-1.738,8.1267,5,2,7
59.902,-176.4158,142.0,0.65,8.00098,5,2,4
59.902,-176.4158,142.0,0.647,8.00098,5,2,4
59.902,-176.4158,142.0,0.645,8.00098,5,2,4
59.902,-176.4158,142.0,0.614,8.00098,5,2,4
59.902,-176.4158,142.0,0.181,7.991079999999999,5,2,4
59.902,-176.4158,142.0,-1.735,8.14612,5,2,7
59.902,-176.4158,142.0,-1.737,8.147899999999998,5,2,7
59.902,-176.4158,142.0,-1.738,8.147899999999998,5,2,7
59.902,-176.4158,142.0,-1.739,8.147899999999998,5,2,7
59.902,-176.4158,142.0,-1.74,8.1479,5,2,7
59.902,-176.4158,142.0,-1.738,8.147899999999998,5,2,7
59.902,-176.4158,142.0,-1.738,8.147899999999998,5,2,7
59.9008,-176.4412,141.0,0.663,7.9887,5,2,4
59.9008,-176.4412,141.0,-1.738,8.1941,5,2,7
59.9008,-176.4412,141.0,-1.738,8.1238,5,2,7
59.9008,-176.4412,141.0,-1.741,8.1193,5,2,7
59.9008,-176.4412,141.0,-1.741,8.1558,5,2,7
59.9008,-176.4412,141.0,-1.741,8.1465,5,2,7
59.9008,-176.4412,141.0,-1.73,8.1376,5,2,7
59.9008,-176.4412,141.0,-1.702,8.121,5,2,7
59.9102,-176.9652,141.0,0.841,7.88858,5,3,2
59.9102,-176.9652,141.0,0.654,7.888579999999999,5,2,2
59.9102,-176.9652,141.0,0.558,7.941720000000001,5,2,3
59.9102,-176.9652,141.0,-0.452,8.02972,5,2,5
59.9102,-176.9652,141.0,-1.718,8.15306,5,2,7
59.9102,-176.9652,141.0,-1.714,8.15306,5,2,7
59.9102,-176.9652,141.0,-1.713,8.15306,5,2,7
59.9102,-176.9652,141.0,-1.719,8.0922,5,2,7
59.9102,-176.9652,141.0,-1.72,8.2907,5,2,7
59.9102,-176.9652,141.0,-1.72,8.16768,5,2,7
59.9102,-176.9652,141.0,-1.715,8.15306,5,2,7
59.8917,-178.1935,144.0,1.217,8.058,5,3,6
59.8917,-178.1935,144.0,1.202,8.0607,5,3,6
59.8917,-178.1935,144.0,1.104,8.0735,5,3,6
59.8917,-178.1935,144.0,0.819,8.0857,5,2,6
59.8917,-178.1935,144.0,0.215,8.1026,5,2,7
59.8917,-178.1935,144.0,-1.631,8.15,5,2,7
59.8917,-178.1935,144.0,-1.711,8.1667,5,2,7
59.8917,-178.1935,144.0,-1.717,8.1641,5,2,7
59.8917,-178.1935,144.0,-1.718,8.1648,5,2,7
59.8917,-178.1935,144.0,-1.717,8.1715,5,2,7
59.907,-179.4262,2685.0,1.712,7.6389,1,3,1
59.907,-179.4262,2685.0,1.925,7.6593,1,3,1
59.907,-179.4262,2685.0,2.354,7.6139,1,3,1
59.907,-179.4262,2685.0,2.704,7.6294,1,3,1
59.907,-179.4262,2685.0,3.286,7.6286,1,3,1
59.907,-179.4262,2685.0,3.617,7.6159,1,3,1
59.907,-179.4262,2685.0,3.896,7.7443,1,3,1
59.907,-179.4262,2685.0,1.23,8.0319,1,3,5
