NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Rowid_,FIPS_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Lauderdale,Alabama,01,077,01077,2121,01077,2121,2699,0.18743055554,126,274,148,194.81622823300,29.11595329500,525809.00000000000,139,213,131,193
Limestone,Alabama,01,083,01083,2122,01083,2122,2239,0.15548611110,169,280,111,210.34033050500,27.53079941720,470952.00000000000,109,213,260,213
Madison,Alabama,01,089,01089,2131,01089,2131,3038,0.21097222221,169,549,380,242.42824226500,65.02058684670,736497.00000000000,294,244,282,233
Jackson,Alabama,01,071,01071,2132,01071,2132,4122,0.28624999998,177,549,372,320.25836972300,112.96700560900,1320105.00000000000,352,183,179,311
Colbert,Alabama,01,033,01033,2148,01033,2148,2291,0.15909722221,126,284,158,179.55085115700,33.36815541280,411351.00000000000,143,183,253,174
DeKalb,Alabama,01,049,01049,2154,01049,2154,2832,0.19666666665,189,579,390,370.58721751400,72.67421222080,1049503.00000000000,327,335,193,365
Lawrence,Alabama,01,079,01079,2163,01079,2163,2623,0.18215277776,155,315,160,206.67365611900,33.01932017790,542105.00000000000,154,183,160,198
Morgan,Alabama,01,103,01103,2185,01103,2185,2177,0.15118055554,169,396,227,214.32751492900,48.29072633350,466591.00000000000,184,183,224,198
Marshall,Alabama,01,095,01095,2195,01095,2195,2249,0.15618055554,169,402,233,268.33614940000,57.12896751110,603488.00000000000,210,181,172,284
Franklin,Alabama,01,059,01059,2201,01059,2201,2293,0.15923611110,143,341,198,226.88617531600,40.88678641070,520250.00000000000,178,213,143,215
Cherokee,Alabama,01,019,01019,2212,01019,2212,2197,0.15256944443,162,554,392,230.55393718700,69.57018984250,506527.00000000000,270,183,168,210
Marion,Alabama,01,093,01093,2243,01093,2243,2719,0.18881944443,112,286,174,193.43582199300,39.70647429720,525952.00000000000,172,183,112,184
Cullman,Alabama,01,043,01043,2245,01043,2245,2762,0.19180555554,91,335,244,228.56263577100,51.92310244690,631290.00000000000,220,274,94,234
