County,Wage,State
Autauga,"48,347",Alabama
Baldwin,"54,659",Alabama
Barbour,"40,428",Alabama
Bibb,"36,892",Alabama
Blount,"42,634",Alabama
Bullock,"33,267",Alabama
Butler,"46,050",Alabama
Calhoun,"42,621",Alabama
Chambers,"39,728",Alabama
Cherokee,"43,719",Alabama
Chilton,"41,748",Alabama
Choctaw,"44,241",Alabama
Clarke,"45,232",Alabama
Clay,"38,705",Alabama
Cleburne,"42,836",Alabama
Coffee,"49,196",Alabama
Colbert,"44,279",Alabama
Conecuh,"41,656",Alabama
Coosa,"38,275",Alabama
Covington,"41,458",Alabama
Crenshaw,"46,038",Alabama
Cullman,"46,061",Alabama
Dale,"43,916",Alabama
Dallas,"41,850",Alabama
DeKalb,"40,026",Alabama
Elmore,"47,381",Alabama
Escambia,"39,363",Alabama
Etowah,"42,558",Alabama
Fayette,"41,672",Alabama
Franklin,"40,810",Alabama
Geneva,"41,569",Alabama
Greene,"40,461",Alabama
Hale,"44,085",Alabama
Henry,"51,184",Alabama
Houston,"50,976",Alabama
Jackson,"43,565",Alabama
Jefferson,"62,371",Alabama
Lamar,"40,114",Alabama
Lauderdale,"44,804",Alabama
Lawrence,"42,996",Alabama
Lee,"45,002",Alabama
Limestone,"50,326",Alabama
Lowndes,"48,852",Alabama
Macon,"38,412",Alabama
Madison,"59,852",Alabama
Marengo,"47,008",Alabama
Marion,"40,939",Alabama
Marshall,"44,416",Alabama
Mobile,"46,418",Alabama
Monroe,"42,872",Alabama
Montgomery,"50,337",Alabama
Morgan,"47,479",Alabama
Perry,"40,414",Alabama
Pickens,"43,039",Alabama
Pike,"44,659",Alabama
Randolph,"41,750",Alabama
Russell,"39,378",Alabama
St. Clair,"47,117",Alabama
Shelby,"64,350",Alabama
Sumter,"38,253",Alabama
Talladega,"40,668",Alabama
Tallapoosa,"48,344",Alabama
Tuscaloosa,"43,439",Alabama
Walker,"47,239",Alabama
Washington,"45,956",Alabama
Wilcox,"39,354",Alabama
Winston,"41,700",Alabama
Aleutians East Borough,"60,174",Alaska
Aleutians West Census Area,"65,812",Alaska
Anchorage Municipality,"72,032",Alaska
Bethel Census Area,"48,189",Alaska
Bristol Bay Borough,"155,155",Alaska
Chugach Census Area2,"70,362",Alaska
Copper River Census Area2,"55,378",Alaska
Denali Borough,"107,916",Alaska
Dillingham Census Area,"61,572",Alaska
Fairbanks North Star Borough,"65,314",Alaska
Haines Borough,"88,152",Alaska
Hoonah-Angoon Census Area,"60,837",Alaska
Juneau City and Borough,"75,996",Alaska
Kenai Peninsula Borough,"59,041",Alaska
Ketchikan Gateway Borough,"72,278",Alaska
Kodiak Island Borough,"69,546",Alaska
Kusilvak Census Area,"36,753",Alaska
Lake and Peninsula Borough,"67,539",Alaska
Matanuska-Susitna Borough,"54,207",Alaska
Nome Census Area,"58,882",Alaska
