latitude,longitude,depth,temperature,oxygen,pH
56.509,-170.8147,122.0,2.199,316.01,7.9743
56.509,-170.8147,122.0,2.098,319.32,7.9977
56.509,-170.8147,122.0,1.637,334.65,8.0398
56.509,-170.8147,122.0,0.763,342.38,8.0659
56.509,-170.8147,122.0,-0.318,359.24,8.0661
56.509,-170.8147,122.0,-0.45,364.36,8.0779
56.509,-170.8147,122.0,-0.444,364.08,8.0813
56.509,-170.8147,122.0,-0.44,364.42,8.0821
56.7347,-170.5275,109.0,1.302,336.19,7.9929
56.7347,-170.5275,109.0,1.298,337.05,7.994
56.7347,-170.5275,109.0,0.643,347.0,8.0149
56.7347,-170.5275,109.0,-1.188,359.7,8.0611
56.7347,-170.5275,109.0,-1.179,367.55,8.0614
56.7347,-170.5275,109.0,-1.181,367.7,8.0618
56.7347,-170.5275,109.0,-1.179,367.99,8.0921
56.7347,-170.5275,109.0,-1.179,383.36400000000003,8.0944
56.9675,-170.2735,75.0,0.643,342.11,8.0429
56.9675,-170.2735,75.0,0.655,342.37,8.0438
56.9675,-170.2735,75.0,0.658,342.86,8.0535
56.9675,-170.2735,75.0,-1.626,359.91,8.1481
56.9675,-170.2735,75.0,-1.624,360.1,8.1614
56.9675,-170.2735,75.0,-1.628,360.18,8.1564
56.9675,-170.2735,75.0,-1.626,401.45200000000006,8.1646
57.31,-169.9182,58.0,-1.663,356.92,8.068
57.31,-169.9182,58.0,-1.657,356.68,8.0688
57.31,-169.9182,58.0,-1.656,356.72,8.0693
57.31,-169.9182,58.0,-1.656,356.61,8.0696
57.31,-169.9182,58.0,-1.66,356.66,8.0701
57.31,-169.9182,58.0,-1.658,356.69,8.0921
57.9195,-169.1927,66.0,-1.721,358.35,8.1755
57.9195,-169.1927,66.0,-1.722,358.35,8.1769
57.9195,-169.1927,66.0,-1.723,358.9,8.1636
57.9195,-169.1927,66.0,-1.723,360.81,8.1502
57.9195,-169.1927,66.0,-1.723,361.23,8.1574
57.9195,-169.1927,66.0,-1.723,361.54,8.1586
57.9195,-169.1927,66.0,-1.739,361.71,8.1568
57.9195,-169.1927,66.0,-1.728,361.87,8.1663
58.3578,-168.7042,66.0,-1.712,366.86,8.1734
58.3578,-168.7042,66.0,-1.713,366.79,8.1519
