ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AL-001,Autauga County,Alabama,-0.26,45,-0.2,-0.06,
AL-003,Baldwin County,Alabama,-0.84,16,-0.82,-0.01,
AL-005,Barbour County,Alabama,-0.22,44,-0.22,-0.01,
AL-007,Bibb County,Alabama,-0.29,48,-0.23,-0.06,
AL-009,Blount County,Alabama,0.24,78,0.21,0.02,
AL-011,Bullock County,Alabama,0.08,61,0.08,0,
AL-013,Butler County,Alabama,-0.41,41,-0.34,-0.07,
AL-015,Calhoun County,Alabama,0,67,0.02,-0.02,
AL-017,Chambers County,Alabama,0.39,101,0.46,-0.07,
AL-019,Cherokee County,Alabama,0.27,90,0.32,-0.04,
AL-021,Chilton County,Alabama,-0.21,56,-0.13,-0.07,
AL-023,Choctaw County,Alabama,0.12,76,0.11,0.01,
AL-025,Clarke County,Alabama,0.1,82,0.15,-0.05,
AL-027,Clay County,Alabama,0.48,101,0.49,-0.01,
AL-029,Cleburne County,Alabama,0.05,71,0.07,-0.02,
AL-031,Coffee County,Alabama,-0.52,32,-0.54,0.02,
AL-033,Colbert County,Alabama,0.08,72,0.09,-0.01,
AL-035,Conecuh County,Alabama,-0.88,16,-0.8,-0.08,
AL-037,Coosa County,Alabama,0.46,103,0.54,-0.08,
AL-039,Covington County,Alabama,-0.82,18,-0.79,-0.02,
AL-041,Crenshaw County,Alabama,-0.24,45,-0.21,-0.03,
AL-043,Cullman County,Alabama,0.37,90,0.37,0.01,
AL-045,Dale County,Alabama,-0.5,31,-0.54,0.04,
AL-047,Dallas County,Alabama,-0.12,63,-0.08,-0.04,
AL-049,DeKalb County,Alabama,0.34,90,0.38,-0.04,
AL-051,Elmore County,Alabama,0.25,90,0.33,-0.08,
AL-053,Escambia County,Alabama,-0.9,13,-0.87,-0.03,
AL-055,Etowah County,Alabama,0.13,75,0.13,0,
AL-057,Fayette County,Alabama,0.07,73,0.1,-0.03,
AL-059,Franklin County,Alabama,0.19,78,0.22,-0.03,
AL-061,Geneva County,Alabama,-0.83,16,-0.86,0.04,
AL-063,Greene County,Alabama,0.37,90,0.41,-0.04,
AL-065,Hale County,Alabama,-0.02,73,0.03,-0.05,
AL-067,Henry County,Alabama,-0.56,27,-0.56,0,
AL-069,Houston County,Alabama,-0.99,10,-1.03,0.04,
AL-071,Jackson County,Alabama,0.18,79,0.23,-0.05,
AL-073,Jefferson County,Alabama,-0.34,41,-0.32,-0.02,
AL-075,Lamar County,Alabama,-0.06,69,0,-0.07,
AL-077,Lauderdale County,Alabama,0.01,65,0,0,
AL-079,Lawrence County,Alabama,0.11,67,0.09,0.01,
AL-081,Lee County,Alabama,0.42,99,0.48,-0.07,
AL-083,Limestone County,Alabama,0.12,76,0.16,-0.04,
AL-085,Lowndes County,Alabama,-0.04,56,-0.04,0,
AL-087,Macon County,Alabama,0.32,94,0.34,-0.03,
AL-089,Madison County,Alabama,0.11,71,0.16,-0.05,
AL-091,Marengo County,Alabama,0.05,75,0.08,-0.03,
AL-093,Marion County,Alabama,0.11,67,0.14,-0.03,
AL-095,Marshall County,Alabama,0.26,84,0.26,0,
AL-097,Mobile County,Alabama,-0.55,23,-0.55,0,
AL-099,Monroe County,Alabama,-0.58,34,-0.49,-0.09,
AL-101,Montgomery County,Alabama,0.12,73,0.17,-0.04,
AL-103,Morgan County,Alabama,0.19,81,0.21,-0.03,
AL-105,Perry County,Alabama,-0.23,59,-0.16,-0.07,
AL-107,Pickens County,Alabama,0.46,96,0.51,-0.06,
AL-109,Pike County,Alabama,-0.18,50,-0.18,0.01,
AL-111,Randolph County,Alabama,0.2,81,0.24,-0.04,
AL-113,Russell County,Alabama,0.33,89,0.36,-0.04,
AL-115,St. Clair County,Alabama,0.27,86,0.26,0.02,
AL-117,Shelby County,Alabama,-0.02,68,0.02,-0.04,
AL-119,Sumter County,Alabama,0,72,0.07,-0.07,
AL-121,Talladega County,Alabama,0.57,100,0.58,-0.01,
AL-123,Tallapoosa County,Alabama,0.42,105,0.49,-0.07,
AL-125,Tuscaloosa County,Alabama,-0.1,69,-0.07,-0.03,
AL-127,Walker County,Alabama,-0.13,55,-0.13,0,
AL-129,Washington County,Alabama,0.13,72,0.12,0.01,
AL-131,Wilcox County,Alabama,-0.22,53,-0.17,-0.05,
AL-133,Winston County,Alabama,0.35,84,0.34,0.01,
AZ-001,Apache County,Arizona,0.12,81,0.12,0,
AZ-003,Cochise County,Arizona,-0.53,47,-0.62,0.1,
AZ-005,Coconino County,Arizona,0.8,105,0.7,0.1,
AZ-007,Gila County,Arizona,-0.04,63,-0.12,0.09,
AZ-009,Graham County,Arizona,-0.29,62,-0.32,0.03,
AZ-011,Greenlee County,Arizona,-0.17,65,-0.14,-0.03,
AZ-012,La Paz County,Arizona,-0.18,64,-0.29,0.11,
AZ-013,Maricopa County,Arizona,0.16,81,0.07,0.09,
AZ-015,Mohave County,Arizona,0.62,103,0.57,0.05,
AZ-017,Navajo County,Arizona,0.81,105,0.72,0.08,
AZ-019,Pima County,Arizona,-0.31,64,-0.38,0.08,
AZ-021,Pinal County,Arizona,0.09,75,-0.02,0.11,
AZ-023,Santa Cruz County,Arizona,-0.16,64,-0.27,0.12,
AZ-025,Yavapai County,Arizona,0.39,89,0.29,0.1,
AZ-027,Yuma County,Arizona,-0.47,48,-0.54,0.07,
AR-001,Arkansas County,Arkansas,-0.16,58,-0.14,-0.02,
AR-003,Ashley County,Arkansas,-0.03,72,-0.02,-0.01,
AR-005,Baxter County,Arkansas,0.66,101,0.61,0.05,
AR-007,Benton County,Arkansas,0.32,85,0.29,0.02,
AR-009,Boone County,Arkansas,0.18,73,0.15,0.04,
AR-011,Bradley County,Arkansas,0.72,105,0.75,-0.02,
AR-013,Calhoun County,Arkansas,0.94,115,0.97,-0.03,
AR-015,Carroll County,Arkansas,0.14,72,0.1,0.03,
AR-017,Chicot County,Arkansas,-0.37,34,-0.39,0.01,
AR-019,Clark County,Arkansas,0.3,89,0.36,-0.06,
AR-021,Clay County,Arkansas,-0.24,48,-0.24,0.01,
AR-023,Cleburne County,Arkansas,0.33,90,0.36,-0.03,
AR-025,Cleveland County,Arkansas,0.49,97,0.51,-0.02,
AR-027,Columbia County,Arkansas,0.46,100,0.48,-0.02,
AR-029,Conway County,Arkansas,0.13,74,0.14,-0.01,
AR-031,Craighead County,Arkansas,0.26,75,0.26,0.01,
AR-033,Crawford County,Arkansas,-0.22,45,-0.22,0,
AR-035,Crittenden County,Arkansas,0.15,73,0.14,0.02,
AR-037,Cross County,Arkansas,0.06,67,0.04,0.02,
AR-039,Dallas County,Arkansas,0.53,97,0.56,-0.04,
AR-041,Desha County,Arkansas,0.07,73,0.09,-0.02,
AR-043,Drew County,Arkansas,0.26,86,0.28,-0.02,
AR-045,Faulkner County,Arkansas,0.07,76,0.12,-0.05,
AR-047,Franklin County,Arkansas,-0.09,54,-0.11,0.01,
AR-049,Fulton County,Arkansas,0.12,64,0.09,0.03,
AR-051,Garland County,Arkansas,0.3,92,0.34,-0.04,
AR-053,Grant County,Arkansas,0.21,86,0.24,-0.03,
AR-055,Greene County,Arkansas,0,54,-0.04,0.04,
AR-057,Hempstead County,Arkansas,0.4,98,0.47,-0.07,
AR-059,Hot Spring County,Arkansas,0.06,72,0.1,-0.04,
AR-061,Howard County,Arkansas,0.51,97,0.57,-0.06,
AR-063,Independence County,Arkansas,0.44,94,0.45,-0.01,
AR-065,Izard County,Arkansas,0.46,92,0.43,0.02,
AR-067,Jackson County,Arkansas,0.25,80,0.28,-0.03,
AR-069,Jefferson County,Arkansas,-0.06,63,-0.03,-0.02,
AR-071,Johnson County,Arkansas,0.19,77,0.19,0,
AR-073,Lafayette County,Arkansas,0.32,90,0.33,-0.02,
AR-075,Lawrence County,Arkansas,0.17,70,0.12,0.05,
AR-077,Lee County,Arkansas,-0.1,56,-0.12,0.02,
AR-079,Lincoln County,Arkansas,0.03,72,0.06,-0.03,
AR-081,Little River County,Arkansas,0.43,98,0.44,-0.02,
AR-083,Logan County,Arkansas,0.02,68,0.01,0.01,
AR-085,Lonoke County,Arkansas,-0.06,61,-0.05,-0.01,
AR-087,Madison County,Arkansas,-0.12,49,-0.12,0,
AR-089,Marion County,Arkansas,0.25,70,0.19,0.07,
AR-091,Miller County,Arkansas,0.24,86,0.24,0,
AR-093,Mississippi County,Arkansas,0.12,72,0.11,0.01,
AR-095,Monroe County,Arkansas,-0.22,52,-0.24,0.02,
AR-097,Montgomery County,Arkansas,0.51,96,0.54,-0.03,
AR-099,Nevada County,Arkansas,0.32,94,0.39,-0.07,
AR-101,Newton County,Arkansas,-0.38,35,-0.38,0,
AR-103,Ouachita County,Arkansas,0.65,106,0.71,-0.05,
AR-105,Perry County,Arkansas,0.36,91,0.35,0.01,
AR-107,Phillips County,Arkansas,-0.15,56,-0.13,-0.02,
AR-109,Pike County,Arkansas,0.45,97,0.53,-0.08,
AR-111,Poinsett County,Arkansas,0.29,79,0.26,0.02,
AR-113,Polk County,Arkansas,0.59,99,0.61,-0.02,
AR-115,Pope County,Arkansas,0.2,85,0.22,-0.03,
AR-117,Prairie County,Arkansas,-0.17,58,-0.17,0,
AR-119,Pulaski County,Arkansas,0.17,82,0.21,-0.03,
AR-121,Randolph County,Arkansas,0.02,58,-0.03,0.05,
AR-123,St. Francis County,Arkansas,-0.11,51,-0.13,0.02,
AR-125,Saline County,Arkansas,0.46,96,0.49,-0.03,
AR-127,Scott County,Arkansas,0.52,92,0.48,0.03,
AR-129,Searcy County,Arkansas,0.16,69,0.13,0.03,
AR-131,Sebastian County,Arkansas,0.32,83,0.27,0.05,
AR-133,Sevier County,Arkansas,0.45,95,0.48,-0.03,
AR-135,Sharp County,Arkansas,0.13,62,0.1,0.03,
AR-137,Stone County,Arkansas,0.45,91,0.45,0,
AR-139,Union County,Arkansas,0.72,108,0.73,-0.02,
AR-141,Van Buren County,Arkansas,0.07,70,0.07,0,
AR-143,Washington County,Arkansas,-0.08,57,-0.08,0,
AR-145,White County,Arkansas,0.08,73,0.13,-0.06,
AR-147,Woodruff County,Arkansas,-0.07,60,-0.07,0,
AR-149,Yell County,Arkansas,0.15,78,0.15,0,
CA-001,Alameda County,California,1.33,117,1.23,0.1,
CA-003,Alpine County,California,1.14,120,1.18,-0.04,
CA-005,Amador County,California,0.84,109,0.79,0.06,
CA-007,Butte County,California,0.27,87,0.2,0.07,
CA-009,Calaveras County,California,0.85,109,0.79,0.06,
CA-011,Colusa County,California,1,111,0.92,0.07,
CA-013,Contra Costa County,California,1.22,113,1.13,0.09,
CA-015,Del Norte County,California,-0.96,10,-0.95,0,
CA-017,El Dorado County,California,0.88,114,0.83,0.05,
CA-019,Fresno County,California,1.21,117,1.16,0.05,
CA-021,Glenn County,California,0.88,109,0.81,0.06,
CA-023,Humboldt County,California,-0.33,49,-0.32,-0.01,
CA-025,Imperial County,California,0.2,85,0.03,0.17,
CA-027,Inyo County,California,1.99,122,1.96,0.03,
CA-029,Kern County,California,1.74,119,1.72,0.02,
CA-031,Kings County,California,2.18,119,2.08,0.1,
CA-033,Lake County,California,0.71,106,0.68,0.04,
CA-035,Lassen County,California,0.85,104,0.76,0.09,
CA-037,Los Angeles County,California,1.28,118,1.19,0.09,
CA-039,Madera County,California,0.78,110,0.74,0.04,
CA-041,Marin County,California,0.63,97,0.55,0.08,
CA-043,Mariposa County,California,0.99,116,0.96,0.03,
CA-045,Mendocino County,California,0.52,101,0.51,0.01,
CA-047,Merced County,California,1.73,123,1.68,0.04,
CA-049,Modoc County,California,0.74,94,0.63,0.11,
CA-051,Mono County,California,1.92,126,1.95,-0.02,
CA-053,Monterey County,California,1.23,116,1.14,0.09,
CA-055,Napa County,California,0.74,104,0.65,0.08,
CA-057,Nevada County,California,0.81,113,0.78,0.03,
CA-059,Orange County,California,1.52,119,1.43,0.08,
CA-061,Placer County,California,0.97,114,0.93,0.03,
CA-063,Plumas County,California,0.94,115,0.9,0.04,
CA-065,Riverside County,California,0.76,98,0.62,0.13,
CA-067,Sacramento County,California,0.73,97,0.71,0.03,
CA-069,San Benito County,California,1.07,110,0.99,0.07,
CA-071,San Bernardino County,California,0.58,93,0.48,0.1,
