ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AL-001,Autauga County,Alabama,51.89,54,-1.64,53.53,
AL-003,Baldwin County,Alabama,50.71,19,-11.18,61.89,
AL-005,Barbour County,Alabama,48.95,41,-3.33,52.28,
AL-007,Bibb County,Alabama,53.22,51,-2.02,55.24,
AL-009,Blount County,Alabama,60.68,89,5.08,55.6,
AL-011,Bullock County,Alabama,52.37,57,0.31,52.06,
AL-013,Butler County,Alabama,51.82,45,-3.86,55.68,
AL-015,Calhoun County,Alabama,55.15,73,1.77,53.38,
AL-017,Chambers County,Alabama,60.09,102,6.78,53.31,
AL-019,Cherokee County,Alabama,58.58,95,5.01,53.57,
AL-021,Chilton County,Alabama,53.86,59,-0.37,54.23,
AL-023,Choctaw County,Alabama,57.14,68,0.29,56.85,
AL-025,Clarke County,Alabama,59.79,80,1.88,57.91,
AL-027,Clay County,Alabama,62.57,103,6.74,55.83,
AL-029,Cleburne County,Alabama,55.56,73,1.63,53.93,
AL-031,Coffee County,Alabama,49.33,34,-6.84,56.17,
AL-033,Colbert County,Alabama,57.07,86,3.5,53.57,
AL-035,Conecuh County,Alabama,46.3,16,-11.7,58,
AL-037,Coosa County,Alabama,61.17,99,6.52,54.65,
AL-039,Covington County,Alabama,47.76,19,-10.86,58.62,
AL-041,Crenshaw County,Alabama,53.29,52,-2.04,55.33,
AL-043,Cullman County,Alabama,63.31,101,7.19,56.12,
AL-045,Dale County,Alabama,47.11,29,-7.27,54.38,
AL-047,Dallas County,Alabama,51.41,57,-1.41,52.82,
AL-049,DeKalb County,Alabama,60.21,88,4.72,55.49,
AL-051,Elmore County,Alabama,57.19,87,3.73,53.46,
AL-053,Escambia County,Alabama,46.95,11,-13.48,60.43,
AL-055,Etowah County,Alabama,57.68,83,3.22,54.46,
AL-057,Fayette County,Alabama,59.17,81,2.9,56.27,
AL-059,Franklin County,Alabama,60.43,92,5.72,54.71,
AL-061,Geneva County,Alabama,45.2,17,-11.99,57.19,
AL-063,Greene County,Alabama,57.03,87,4.07,52.96,
AL-065,Hale County,Alabama,52.94,62,-0.81,53.75,
AL-067,Henry County,Alabama,45.45,26,-7.88,53.33,
AL-069,Houston County,Alabama,40.44,10,-13.7,54.14,
AL-071,Jackson County,Alabama,57.75,80,3,54.75,
AL-073,Jefferson County,Alabama,53.63,54,-1.94,55.57,
AL-075,Lamar County,Alabama,57.29,77,2.34,54.95,
AL-077,Lauderdale County,Alabama,55.57,75,1.56,54.01,
AL-079,Lawrence County,Alabama,56.46,79,3.03,53.43,
AL-081,Lee County,Alabama,58.36,97,6.08,52.28,
AL-083,Limestone County,Alabama,56.91,79,3.17,53.74,
AL-085,Lowndes County,Alabama,51.2,54,-1.15,52.35,
AL-087,Macon County,Alabama,55.4,80,3.69,51.71,
AL-089,Madison County,Alabama,57.92,83,3.55,54.37,
AL-091,Marengo County,Alabama,53.62,65,-0.57,54.19,
AL-093,Marion County,Alabama,60.48,88,4.88,55.6,
AL-095,Marshall County,Alabama,59.21,89,4.79,54.42,
AL-097,Mobile County,Alabama,55.93,30,-6.56,62.49,
AL-099,Monroe County,Alabama,50.48,37,-6.77,57.25,
AL-101,Montgomery County,Alabama,52.66,63,0.55,52.11,
AL-103,Morgan County,Alabama,58.97,92,4.99,53.98,
AL-105,Perry County,Alabama,51.06,55,-2.56,53.62,
AL-107,Pickens County,Alabama,61.59,99,8.2,53.39,
AL-109,Pike County,Alabama,52.25,50,-2.1,54.35,
AL-111,Randolph County,Alabama,59.01,88,4.34,54.67,
AL-113,Russell County,Alabama,53.59,88,3.74,49.85,
AL-115,St. Clair County,Alabama,59.89,92,4.74,55.15,
AL-117,Shelby County,Alabama,55.69,69,0.77,54.92,
AL-119,Sumter County,Alabama,54.08,68,-0.02,54.1,
AL-121,Talladega County,Alabama,61.64,104,7.91,53.73,
AL-123,Tallapoosa County,Alabama,61.53,110,7.3,54.23,
AL-125,Tuscaloosa County,Alabama,55.03,67,-0.4,55.43,
AL-127,Walker County,Alabama,57.81,73,1.25,56.56,
AL-129,Washington County,Alabama,61.42,77,1.72,59.7,
AL-131,Wilcox County,Alabama,51.76,53,-2.51,54.27,
AL-133,Winston County,Alabama,63.59,97,7.15,56.44,
