State,Avg
Connecticut,13700.0
Delaware,9800.0
Maine,2860.0
Maryland,9700.0
Massachusetts,15200.0
New Hampshire,5350.0
New Jersey,15400.0
New York,3450.0
Pennsylvania,7350.0
Rhode Island,17500.0
Vermont,4200.0
Michigan,5850.0
Minnesota,6150.0
Wisconsin,5700.0
Illinois,8900.0
Indiana,8000.0
Iowa,9400.0
Missouri,4150.0
Ohio,7200.0
Kansas,2630.0
Nebraska,3750.0
North Dakota,2050.0
South Dakota,2600.0
Kentucky,4350.0
North Carolina,5150.0
Tennessee,4700.0
Virginia,5100.0
West Virginia,3000.0
Southeast,4580.0
Alabama,3400.0
Florida,6600.0
Georgia,3960.0
South Carolina,3800.0
Arkansas,3550.0
Louisiana,3410.0
Mississippi,3000.0
Oklahoma,2250.0
Texas,2650.0
Arizona,4200.0
Colorado,1770.0
Idaho,3700.0
Montana,1030.0
Nevada,1060.0
New Mexico,610.0
Utah,2810.0
Wyoming,850.0
California,12000.0
Oregon,3040.0
Washington,3100.0
