State,Abbreviation,County,Population,Temperature,Precipitation,Palmer-Z
Alabama,AL,Autauga,59759.0,66.1,51.89,-0.26
Alabama,AL,Baldwin,246435.0,70.1,50.71,-0.84
Alabama,AL,Barbour,24706.0,66.4,48.95,-0.22
Alabama,AL,Bibb,22005.0,64.4,53.22,-0.29
Alabama,AL,Blount,59512.0,62.5,60.68,0.24
Alabama,AL,Bullock,10202.0,66,52.37,0.08
Alabama,AL,Butler,18650.0,66.6,51.82,-0.41
Alabama,AL,Calhoun,115788.0,63,55.15,0
Alabama,AL,Chambers,34088.0,63,60.09,0.39
Alabama,AL,Cherokee,25302.0,61.9,58.58,0.27
Alabama,AL,Chilton,45884.0,64.5,53.86,-0.21
Alabama,AL,Choctaw,12439.0,66.9,57.14,0.12
Alabama,AL,Clarke,22515.0,67,59.79,0.1
Alabama,AL,Clay,14198.0,62.6,62.57,0.48
Alabama,AL,Cleburne,15346.0,62,55.56,0.05
Alabama,AL,Coffee,54805.0,67.2,49.33,-0.52
Alabama,AL,Colbert,58033.0,61.7,57.07,0.08
Alabama,AL,Conecuh,11206.0,67.2,46.3,-0.88
Alabama,AL,Coosa,10166.0,64,61.17,0.46
Alabama,AL,Covington,37602.0,67.6,47.76,-0.82
Alabama,AL,Crenshaw,13025.0,66.4,53.29,-0.24
Alabama,AL,Cullman,90665.0,62,63.31,0.37
Alabama,AL,Dale,49544.0,67.4,47.11,-0.5
Alabama,AL,Dallas,36767.0,66.6,51.41,-0.12
Alabama,AL,DeKalb,71998.0,60.3,60.21,0.34
Alabama,AL,Elmore,89563.0,65.7,57.19,0.25
Alabama,AL,Escambia,36666.0,68.2,46.95,-0.9
Alabama,AL,Etowah,103088.0,62.5,57.68,0.13
Alabama,AL,Fayette,16118.0,63.7,59.17,0.07
Alabama,AL,Franklin,31932.0,61.9,60.43,0.19
Alabama,AL,Geneva,26783.0,68,45.2,-0.83
Alabama,AL,Greene,7422.0,65.2,57.03,0.37
Alabama,AL,Hale,14595.0,65.1,52.94,-0.02
Alabama,AL,Henry,17655.0,67.5,45.45,-0.56
Alabama,AL,Houston,108079.0,68.3,40.44,-0.99
Alabama,AL,Jackson,52891.0,60.5,57.75,0.18
Alabama,AL,Jefferson,665409.0,63.9,53.63,-0.34
Alabama,AL,Lamar,13705.0,64.1,57.29,-0.06
Alabama,AL,Lauderdale,95878.0,60.8,55.57,0.01
Alabama,AL,Lawrence,33214.0,61.2,56.46,0.11
Alabama,AL,Lee,180773.0,64.4,58.36,0.42
Alabama,AL,Limestone,110900.0,60.9,56.91,0.12
Alabama,AL,Lowndes,9777.0,66.9,51.2,-0.04
Alabama,AL,Macon,18516.0,65.7,55.4,0.32
Alabama,AL,Madison,403565.0,61.4,57.92,0.11
Alabama,AL,Marengo,18745.0,66.2,53.62,0.05
Alabama,AL,Marion,29156.0,62.8,60.48,0.11
Alabama,AL,Marshall,99423.0,62,59.21,0.26
Alabama,AL,Mobile,411411.0,69.7,55.93,-0.55
Alabama,AL,Monroe,19404.0,67.3,50.48,-0.58
Alabama,AL,Montgomery,226361.0,66.6,52.66,0.12
Alabama,AL,Morgan,124211.0,61.8,58.97,0.19
Alabama,AL,Perry,8035.0,65.4,51.06,-0.23
Alabama,AL,Pickens,18697.0,64.9,61.59,0.46
Alabama,AL,Pike,33014.0,66.5,52.25,-0.18
Alabama,AL,Randolph,22479.0,62.5,59.01,0.2
Alabama,AL,Russell,58555.0,65.6,53.59,0.33
Alabama,AL,St.-Clair,93932.0,63.1,59.89,0.27
Alabama,AL,Shelby,230115.0,63.9,55.69,-0.02
Alabama,AL,Sumter,11853.0,65.8,54.08,0
Alabama,AL,Talladega,80704.0,63.7,61.64,0.57
Alabama,AL,Tallapoosa,40977.0,63.7,61.53,0.42
Alabama,AL,Tuscaloosa,236780.0,64.5,55.03,-0.1
Alabama,AL,Walker,64339.0,63.4,57.81,-0.13
Alabama,AL,Washington,15122.0,67.7,61.42,0.13
Alabama,AL,Wilcox,10059.0,66.9,51.76,-0.22
Alabama,AL,Winston,23755.0,61.7,63.59,0.35
Alaska,AK,Aleutians-East-Borough,3398.0,0,0,0
Alaska,AK,Aleutians-West-Census-Area,5122.0,0,0,0
Alaska,AK,Anchorage-Municipality,287145.0,0,0,0
Alaska,AK,Bethel-Census-Area,18257.0,0,0,0
Alaska,AK,Bristol-Bay-Borough,865.0,0,0,0
Alaska,AK,Chugach-Census-Area,6874.0,0,0,0
Alaska,AK,Copper-River-Census-Area,2589.0,0,0,0
Alaska,AK,Denali-Borough,1585.0,0,0,0
Alaska,AK,Dillingham-Census-Area,4723.0,0,0,0
Alaska,AK,Fairbanks-North-Star-Borough,95356.0,0,0,0
Alaska,AK,Haines-Borough,2056.0,0,0,0
Alaska,AK,Hoonah-Angoon-Census-Area,2287.0,0,0,0
Alaska,AK,Juneau-City-and-Borough,31685.0,0,0,0
Alaska,AK,Kenai-Peninsula-Borough,60690.0,0,0,0
Alaska,AK,Ketchikan-Gateway-Borough,13741.0,0,0,0
Alaska,AK,Kodiak-Island-Borough,12720.0,0,0,0
Alaska,AK,Kusilvak-Census-Area,8278.0,0,0,0
Alaska,AK,Lake-and-Peninsula-Borough,1381.0,0,0,0
Alaska,AK,Matanuska-Susitna-Borough,113325.0,0,0,0
Alaska,AK,Nome-Census-Area,9835.0,0,0,0
Alaska,AK,North-Slope-Borough,10805.0,0,0,0
Alaska,AK,Northwest-Arctic-Borough,7423.0,0,0,0
Alaska,AK,Petersburg-Borough,3360.0,0,0,0
Alaska,AK,Prince-of-Wales-Hyder-Census-Area,5650.0,0,0,0
Alaska,AK,Sitka-City-and-Borough,8382.0,0,0,0
Alaska,AK,Skagway-Municipality,1081.0,0,0,0
Alaska,AK,Southeast-Fairbanks-Census-Area,7021.0,0,0,0
Alaska,AK,Wrangell-City-and-Borough,2070.0,0,0,0
Alaska,AK,Yakutat-City-and-Borough,700.0,0,0,0
Alaska,AK,Yukon-Koyukuk-Census-Area,5179.0,0,0,0
Arizona,AZ,Apache,65432.0,50.2,13.48,0.12
Arizona,AZ,Cochise,125663.0,60.6,11.38,-0.53
Arizona,AZ,Coconino,144060.0,52,16.22,0.8
Arizona,AZ,Gila,53922.0,59.1,21.35,-0.04
Arizona,AZ,Graham,38779.0,60.8,13.3,-0.29
Arizona,AZ,Greenlee,9302.0,56.2,16.04,-0.17
Arizona,AZ,La-Paz,16506.0,71.1,6.02,-0.18
Arizona,AZ,Maricopa,4551524.0,70,8.67,0.16
Arizona,AZ,Mohave,220816.0,61.5,12.16,0.62
Arizona,AZ,Navajo,108650.0,51.4,14,0.81
Arizona,AZ,Pima,1057597.0,67.1,10.1,-0.31
Arizona,AZ,Pinal,464154.0,68.6,11.22,0.09
Arizona,AZ,Santa-Cruz,48759.0,59.7,15.22,-0.16
Arizona,AZ,Yavapai,246191.0,58.9,17.94,0.39
Arizona,AZ,Yuma,207842.0,72,4.12,-0.47
Arkansas,AR,Arkansas,16512.0,64.3,52.01,-0.16
Arkansas,AR,Ashley,18354.0,65.8,53.65,-0.03
Arkansas,AR,Baxter,42435.0,58.7,52.48,0.66
Arkansas,AR,Benton,302863.0,58.9,50.6,0.32
Arkansas,AR,Boone,38284.0,58.4,47.25,0.18
Arkansas,AR,Bradley,10135.0,65,63.54,0.72
Arkansas,AR,Calhoun,4695.0,64.4,66.01,0.94
Arkansas,AR,Carroll,28742.0,58.3,47.84,0.14
Arkansas,AR,Chicot,9873.0,65.9,48.46,-0.37
Arkansas,AR,Clark,21250.0,63.3,57.63,0.3
Arkansas,AR,Clay,14265.0,60.5,49.26,-0.24
Arkansas,AR,Cleburne,25284.0,61.2,57.58,0.33
Arkansas,AR,Cleveland,7467.0,64.2,61.31,0.49
Arkansas,AR,Columbia,22216.0,64.6,57.52,0.46
Arkansas,AR,Conway,21046.0,61.7,52.87,0.13
Arkansas,AR,Craighead,113017.0,61.3,53.12,0.26
Arkansas,AR,Crawford,61075.0,61.6,48.35,-0.22
Arkansas,AR,Crittenden,47061.0,62.9,55.46,0.15
Arkansas,AR,Cross,16601.0,62.4,54.25,0.06
Arkansas,AR,Dallas,6191.0,63.4,60.93,0.53
Arkansas,AR,Desha,10771.0,64.6,54.45,0.07
Arkansas,AR,Drew,16911.0,65.1,57.65,0.26
Arkansas,AR,Faulkner,127665.0,62.1,54.09,0.07
Arkansas,AR,Franklin,17271.0,61.2,49.58,-0.09
Arkansas,AR,Fulton,12382.0,59,49.71,0.12
Arkansas,AR,Garland,100089.0,62.8,60.67,0.3
Arkansas,AR,Grant,18160.0,63.8,57.86,0.21
Arkansas,AR,Greene,46448.0,60.9,50.61,0
Arkansas,AR,Hempstead,19453.0,64,58.4,0.4
Arkansas,AR,Hot-Spring,33203.0,63.3,56.49,0.06
Arkansas,AR,Howard,12557.0,62.8,61.01,0.51
Arkansas,AR,Independence,37945.0,60.5,57.08,0.44
Arkansas,AR,Izard,14048.0,59.1,52.98,0.46
Arkansas,AR,Jackson,16624.0,61,55.38,0.25
Arkansas,AR,Jefferson,64246.0,64.2,54.98,-0.06
Arkansas,AR,Johnson,26001.0,60.4,53.9,0.19
Arkansas,AR,Lafayette,6101.0,65.5,55.49,0.32
Arkansas,AR,Lawrence,16205.0,60.3,51.19,0.17
Arkansas,AR,Lee,8364.0,63.4,54.36,-0.1
Arkansas,AR,Lincoln,12916.0,64.7,56.75,0.03
Arkansas,AR,Little-River,11821.0,64.9,56.05,0.43
Arkansas,AR,Logan,21253.0,62.2,49.88,0.02
Arkansas,AR,Lonoke,75225.0,63.4,53.64,-0.06
Arkansas,AR,Madison,17486.0,58.2,47.9,-0.12
Arkansas,AR,Marion,17254.0,58.6,47.27,0.25
Arkansas,AR,Miller,42552.0,66.1,53.26,0.24
Arkansas,AR,Mississippi,38896.0,61.8,51.92,0.12
Arkansas,AR,Monroe,6564.0,63.8,51.32,-0.22
Arkansas,AR,Montgomery,8556.0,62,62.22,0.51
Arkansas,AR,Nevada,8181.0,63.7,56.51,0.32
Arkansas,AR,Newton,7078.0,57.7,44.48,-0.38
Arkansas,AR,Ouachita,22049.0,63.9,60.86,0.65
Arkansas,AR,Perry,10063.0,62.4,55.13,0.36
Arkansas,AR,Phillips,15304.0,63.9,53.47,-0.15
Arkansas,AR,Pike,10179.0,62.6,62.23,0.45
Arkansas,AR,Poinsett,22495.0,61.8,54.24,0.29
Arkansas,AR,Polk,19337.0,60.9,62.5,0.59
Arkansas,AR,Pope,64065.0,60.6,53.69,0.2
Arkansas,AR,Prairie,8069.0,63.7,52.23,-0.17
Arkansas,AR,Pulaski,399145.0,63.1,57.2,0.17
Arkansas,AR,Randolph,18837.0,60,50.53,0.02
Arkansas,AR,St.-Francis,22451.0,63,53.48,-0.11
Arkansas,AR,Saline,127357.0,63,61.9,0.46
Arkansas,AR,Scott,9805.0,61.7,57.17,0.52
Arkansas,AR,Searcy,7918.0,57.9,48.59,0.16
Arkansas,AR,Sebastian,129059.0,62.6,51.55,0.32
Arkansas,AR,Sevier,15686.0,63.6,58.01,0.45
Arkansas,AR,Sharp,17810.0,59.2,51.2,0.13
Arkansas,AR,Stone,12575.0,59.3,55.05,0.45
Arkansas,AR,Union,37752.0,65.1,62.78,0.72
Arkansas,AR,Van-Buren,16102.0,59.6,52.83,0.07
Arkansas,AR,Washington,256054.0,59.3,48.44,-0.08
Arkansas,AR,White,77755.0,62.5,55.76,0.08
Arkansas,AR,Woodruff,6049.0,62.6,52.99,-0.07
Arkansas,AR,Yell,20129.0,62.4,52.73,0.15
California,CA,Alameda,1628997.0,58.8,31.85,1.33
California,CA,Alpine,1190.0,43.3,61.81,1.14
California,CA,Amador,41412.0,57.5,55.94,0.84
California,CA,Butte,207303.0,59.9,52.61,0.27
California,CA,Calaveras,46563.0,57.9,53.98,0.85
California,CA,Colusa,21914.0,60.8,30.95,1
California,CA,Contra-Costa,1156966.0,59.5,30.49,1.22
California,CA,Del-Norte,27082.0,51.8,67.05,-0.96
California,CA,El-Dorado,192646.0,53.3,68.08,0.88
California,CA,Fresno,1015190.0,55.2,34.2,1.21
California,CA,Glenn,28339.0,59.9,34.97,0.88
California,CA,Humboldt,135010.0,53.5,65.95,-0.33
California,CA,Imperial,178713.0,73.7,3.82,0.2
California,CA,Inyo,18718.0,59.6,10.37,1.99
California,CA,Kern,916108.0,60.9,15.01,1.74
California,CA,Kings,152981.0,63.5,13.48,2.18
California,CA,Lake,68191.0,56.6,57.91,0.71
California,CA,Lassen,29904.0,46.2,24.61,0.85
California,CA,Los-Angeles,9721138.0,60.6,27.26,1.28
California,CA,Madera,160256.0,55.8,35.15,0.78
California,CA,Marin,256018.0,55.4,47.27,0.63
California,CA,Mariposa,17020.0,54.7,53.99,0.99
California,CA,Mendocino,89783.0,54.8,62.71,0.52
California,CA,Merced,290014.0,62,19.33,1.73
California,CA,Modoc,8511.0,46.7,21.56,0.74
California,CA,Mono,12978.0,43.2,31.75,1.92
California,CA,Monterey,432858.0,57.9,33.72,1.23
California,CA,Napa,134300.0,58.9,43.13,0.74
California,CA,Nevada,102293.0,51.6,69.84,0.81
California,CA,Orange,3151184.0,63,23.34,1.52
California,CA,Placer,417772.0,52.9,67.53,0.97
California,CA,Plumas,19351.0,46.8,55.61,0.94
California,CA,Riverside,2473902.0,67.7,10.65,0.76
California,CA,Sacramento,1584169.0,61.9,27.34,0.73
California,CA,San-Benito,67579.0,58.3,26.18,1.07
California,CA,San-Bernardino,2193656.0,65.6,8.26,0.58
California,CA,San-Diego,3276208.0,61.7,23.82,1.52
California,CA,San-Francisco,808437.0,56.4,38.63,1.11
California,CA,San-Joaquin,793229.0,62,24.09,1.43
California,CA,San-Luis-Obispo,282013.0,58.7,32.51,1.5
California,CA,San-Mateo,729181.0,56.4,45.2,1.02
California,CA,Santa-Barbara,443837.0,57.6,34.41,1.36
California,CA,Santa-Clara,1870945.0,58,40.34,1.33
California,CA,Santa-Cruz,264370.0,57.1,56.8,1.14
California,CA,Shasta,180930.0,55.1,49.88,0.44
California,CA,Sierra,3217.0,46.2,63.24,0.93
California,CA,Siskiyou,43660.0,49.3,37.58,-0.3
California,CA,Solano,448747.0,60.4,31.24,1.08
California,CA,Sonoma,482650.0,56.3,54.52,0.69
California,CA,Stanislaus,551275.0,61.3,23.53,1.52
California,CA,Sutter,98503.0,62.5,26.96,1
California,CA,Tehama,65245.0,58.6,46.34,0.5
California,CA,Trinity,15781.0,52.6,66.71,0.21
California,CA,Tulare,477544.0,53.5,37.16,0.89
California,CA,Tuolumne,54531.0,49.4,69.29,1.27
California,CA,Ventura,832605.0,56.5,38.1,1.38
California,CA,Yolo,222115.0,61.4,30.02,1.02
California,CA,Yuba,84310.0,60.4,46.78,0.47
Colorado,CO,Adams,527575.0,48.6,23.45,2.18
Colorado,CO,Alamosa,16592.0,43.5,7.87,-0.87
Colorado,CO,Arapahoe,655808.0,48.2,24.46,1.97
Colorado,CO,Archuleta,14003.0,42.7,23.5,-0.01
Colorado,CO,Baca,3432.0,53.6,16.7,-0.26
Colorado,CO,Bent,5399.0,52.8,16.98,0.52
Colorado,CO,Boulder,327468.0,43.9,23.94,1.03
Colorado,CO,Broomfield,76121.0,49.7,20.56,1.75
Colorado,CO,Chaffee,20223.0,37.6,16.18,-0.11
Colorado,CO,Cheyenne,1732.0,51.1,16.3,0.1
Colorado,CO,Clear-Creek,9355.0,36.6,27.22,0.32
